time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
2/1/2019 6:00,0.3716,927.596276923078,2.281,300.692199999999,3.60E-196,272.8996,1503.84067692307,55.8330716083496,0,,55833.0716083496,-3.42
2/1/2019 7:00,0.4646,928.865572747254,2.2811,316.6866,2.25E-197,272.8996,1521.19747274725,54.3468057374688,0,,54346.8057374688,-3.42
2/1/2019 8:00,1.2081,930.13486857143,5.2464,377.4647,1.41E-198,356.8686,1670.92266857143,59.6182423897529,3.8572601449826,,59618.2423897529,3857.2601449826
2/1/2019 9:00,1.0221,931.404164395606,1.9389,444.6406,8.79E-200,325.3803,1704.3860643956,61.259211891606,6.51459213133034,,61259.211891606,6514.59213133034
2/1/2019 10:00,2.5091,932.673460219782,2.6232,403.0556,5.49E-201,272.8996,1613.76096021978,57.1961738064061,8.2265452173862,,57196.1738064061,8226.5452173862
2/1/2019 11:00,1.0223,933.942756043958,3.1935,297.4933,3.43E-202,267.6515,1503.30335604395,47.196370157132,8.922246411,,47196.370157132,8922.246411
2/1/2019 12:00,0.6506,935.212051868134,3.9918,291.0956,2.15E-203,272.8996,1503.84965186813,34.7265617974947,8.971416551,,34726.5617974947,8971.416551
2/1/2019 13:00,0.7436,936.48134769231,1.71079999999999,294.294499999999,1.34E-204,272.8996,1506.12984769231,19.8448992949211,8.44688321137083,,19844.8992949211,8446.88321137083
2/1/2019 14:00,1.57979999999999,937.750643516486,2.3951,300.692199999999,8.38E-206,272.8996,1515.31734351648,6.39654400880688,6.96071820266667,,6396.54400880688,6960.71820266667
2/1/2019 15:00,0.6506,939.019939340662,3.87779999999999,310.2889,5.24E-207,272.8996,1526.73683934066,7.27740708587697,4.85033986053777,,7277.40708587697,4850.33986053777
2/1/2019 16:00,0.9293,940.289235164838,3.0794,316.6867,3.28E-208,293.8918,1554.87643516483,19.9963964777726,2.32334554062315,,19996.3964777726,2323.34554062315
2/1/2019 17:00,1.1151,941.558530989014,1.8249,310.2889,2.05E-209,320.1322,1574.91963098901,42.5576242802781,0.50433093031255,,42557.6242802781,504.33093031255
